time (s)	energy (uJ)	charge (mC)	voltage (mV)	crossing#mod 255
85794.583366	110.359184	0.035934	3.071147	173
85795.684088	148.619308	0.035937	4.135597	174
85796.683207	129.102066	0.035935	3.592669	175
85797.713949	112.011986	0.035936	3.116947	176
85798.751341	116.147873	0.035935	3.232159	177
85799.810222	131.839813	0.035938	3.668514	178
85800.909810	150.557510	0.035934	4.189840	179
85801.893721	130.900604	0.035937	3.642467	180
85802.880954	51.966190	0.035933	1.446177	181
85803.971116	127.384972	0.035939	3.544512	182
85805.044393	167.705536	0.035936	4.666745	183
85806.146578	144.420792	0.035938	4.018664	184
85808.136970	129.791138	0.035936	3.611749	186
85809.174180	143.293854	0.035936	3.987452	187
85810.269094	171.108231	0.035934	4.761716	188
85811.261525	150.967346	0.035937	4.200928	189
85813.322166	118.530724	0.035935	3.298445	191
85814.391481	139.934906	0.035935	3.894108	192
85815.427005	163.577438	0.035936	4.551870	193
85816.631495	127.843529	0.035936	3.557570	194
85817.538459	185.018723	0.035936	5.148627	195
85818.601380	182.597626	0.035936	5.081242	196
85819.585413	142.883865	0.035935	3.976223	197
85820.647316	162.637115	0.035934	4.525980	198
85821.692106	179.507996	0.035940	4.994688	199
85822.768584	188.087570	0.035934	5.234236	200
85823.798191	199.187195	0.035934	5.543117	201
85824.811806	172.193237	0.035934	4.791885	202
85825.897801	198.106049	0.035936	5.512822	203
85826.900463	178.842865	0.035936	4.976729	204
85828.973898	165.983582	0.035938	4.618614	206
85830.070445	203.418060	0.035936	5.660511	207
85831.118467	193.609482	0.035939	5.387208	208
85832.113078	201.217834	0.035935	5.599459	209
85833.189954	200.454559	0.035936	5.578139	210
85834.153933	107.529533	0.035934	2.992403	211
85835.230967	184.617523	0.035937	5.137186	212
85836.308717	214.699966	0.035936	5.974452	213
85837.311631	185.165222	0.035934	5.152856	214
85838.364760	218.033875	0.035934	6.067675	215
85839.408149	208.088531	0.035936	5.790543	216
85840.514363	161.072662	0.035936	4.482183	217
85841.458644	140.789658	0.035937	3.917721	218
85842.508264	173.508423	0.035934	4.828474	219
85843.573274	216.071732	0.035939	6.012140	220
85844.619138	230.664902	0.035934	6.419167	221
85845.670958	216.748337	0.035935	6.031616	222
85846.829401	116.095337	0.035934	3.230810	223
85847.778577	237.933258	0.035936	6.621120	224
85848.770526	218.648926	0.035937	6.084254	225
85849.841025	224.134842	0.035937	6.236901	226
85850.871205	243.791321	0.035938	6.783585	227
85851.922234	226.964081	0.035940	6.315067	228
85852.980829	229.648575	0.035940	6.389837	229
85853.989503	218.379211	0.035937	6.076748	230
85855.017373	224.729065	0.035936	6.253565	231
85856.086855	239.603882	0.035937	6.667289	232
85857.167369	194.867981	0.035939	5.422141	233
85858.196778	224.936752	0.035937	6.259211	234
85860.247925	239.668625	0.035933	6.669877	236
85861.324055	225.186340	0.035936	6.266379	237
85862.398279	168.995087	0.035938	4.702422	238
85863.407464	222.750153	0.035937	6.198390	239
85864.421678	250.751801	0.035936	6.977829	240
85866.495414	249.476471	0.035938	6.941922	242
85867.541372	274.337189	0.035940	7.633293	243
85868.614670	233.236313	0.035938	6.489972	244
85869.630679	272.769043	0.035938	7.589963	245
85870.681672	258.236938	0.035937	7.185852	246
85871.696217	257.865234	0.035935	7.175819	247
85872.749729	264.918335	0.035936	7.371880	248
85873.844040	184.077240	0.035936	5.122337	249
85874.841424	270.178253	0.035936	7.518324	250
85875.883023	282.025360	0.035938	7.847619	251
85876.891590	197.346588	0.035937	5.491434	252
85877.959875	288.940643	0.035938	8.039989	253
85879.004931	280.778687	0.035938	7.812969	254
85880.050654	289.518097	0.035940	8.055602	255
85881.289456	-554.346375	0.035938	-15.424953	0
85882.114478	276.944672	0.035938	7.706159	1
85883.205506	234.134888	0.035939	6.514750	2
85884.146744	19.310671	0.035939	0.537325	3
85885.255814	285.880951	0.035940	7.954394	4
85886.328947	236.651398	0.035939	6.584792	5
85887.336498	283.037506	0.035935	7.876289	6
85888.432408	170.060959	0.035934	4.732557	7
85889.439637	287.669556	0.035937	8.004814	8
85890.472965	304.926697	0.035937	8.485121	9
85891.483782	224.195572	0.035939	6.238160	10
85892.521610	255.244385	0.035936	7.102796	11
85893.595906	299.515747	0.035940	8.333735	12
85894.633042	321.308899	0.035940	8.940230	13
85895.689163	295.093719	0.035936	8.211630	14
85896.721169	315.082581	0.035935	8.768127	15
85897.717353	123.991348	0.035940	3.449959	16
85898.781443	292.696106	0.035934	8.145330	17
85899.854814	302.785339	0.035937	8.425390	18
85900.887540	324.622803	0.035935	9.033655	19
85901.941107	296.922882	0.035937	8.262372	20
