num crossings	time (s)	maj axis (mm)	min axis (mm)	theta (rad )	slope (V/s)
71465	90571.239011	42.479782	1.387039	-1.486549	3.689858
71467	90573.321748	40.051606	-1.223740	-1.480826	3.768506
71469	90575.405884	39.586660	-5.018931	-1.477383	3.815845
71471	90577.493570	40.878766	-1.179300	-1.511613	4.072533
71473	90579.579841	44.164267	1.655517	-1.491130	3.735289
71475	90581.663480	42.594263	-1.139207	-1.486696	4.586933
71477	90583.750560	42.549588	-1.162295	-1.500833	3.977487
71479	90585.836752	41.988881	-1.048861	-1.523157	4.160657
71481	90587.923603	44.158993	-0.904183	-1.510553	4.540638
71483	90590.011215	44.019976	-0.833258	-1.511082	4.267685
71485	90592.097421	47.875769	1.271053	-1.492677	4.813162
71487	90594.186208	46.691414	-0.945037	-1.486764	5.011840
71489	90596.270290	45.194561	-0.969298	-1.516744	4.605843
71491	90598.356445	45.702681	-0.831523	-1.506129	4.863482
71493	90600.445013	46.183626	-0.921366	-1.516082	4.868346
71495	90602.531064	50.159996	1.210319	-1.495230	4.888554
71497	90604.620226	47.374920	-0.548105	-1.512512	5.502516
71499	90606.706419	51.346879	1.507655	-1.489127	5.356590
71501	90608.793980	47.882955	-0.647316	-1.506026	5.497302
71503	90610.880163	45.355471	-2.270857	-1.503401	5.164633
71505	90612.966127	49.606442	-0.676755	-1.489034	5.493858
71507	90615.052104	49.056434	-0.754394	-1.516593	6.069397
71509	90617.139555	49.397107	-0.502484	-1.506852	5.893803
71511	90619.222322	50.080189	-1.109451	-1.502397	5.597174
71513	90621.307483	49.953571	-0.616111	-1.517998	5.743521
71515	90623.394964	50.191114	-0.566361	-1.486523	5.957896
71517	90625.478311	50.792405	-0.530800	-1.506980	6.318735
71519	90627.564115	54.560729	-2.657889	-1.512190	6.198782
71521	90629.647820	52.973135	-0.352779	-1.484865	6.220283
71523	90631.731871	51.729031	-0.536186	-1.518413	6.243478
71525	90633.815320	56.050577	1.074349	-1.489324	6.253038
71527	90635.900528	52.367055	-0.231671	-1.508218	6.692564
71529	90637.983180	51.796245	-1.549103	-1.518907	6.596904
71531	90640.067405	56.962243	1.229326	-1.492181	6.517554
71533	90642.151063	53.343919	0.220461	-1.509152	6.349237
71535	90644.235834	53.834567	0.207506	-1.510391	6.642877
71537	90646.321604	53.662672	0.308776	-1.509907	6.998197
71539	90648.406184	57.571261	1.168488	-1.491391	6.561631
71541	90650.490625	54.991266	-0.115168	-1.487159	6.759634
71543	90652.574108	54.531162	-0.168755	-1.507214	6.958308
71545	90654.660087	54.312542	-1.860801	-1.516959	7.273369
71547	90656.744801	54.387801	0.377007	-1.513094	7.021011
71549	90658.830878	59.176616	1.199376	-1.493106	6.977742
71551	90660.916414	56.727837	0.091251	-1.484753	7.311284
71553	90663.002236	55.445830	-0.130875	-1.519337	7.292702
71555	90665.085497	59.807839	1.106990	-1.494559	7.050623
71557	90667.173124	51.381515	0.010227	-1.492630	7.142312
71559	90669.257929	56.239601	-0.098367	-1.519167	7.568321
71561	90671.341803	56.328758	0.204904	-1.508653	7.708120
71563	90673.427147	56.729166	-0.438813	-1.500834	7.384886
71565	90675.511084	54.236438	-1.651735	-1.516645	7.565769
71567	90677.595001	57.042248	0.298437	-1.509678	7.650218
71569	90679.680110	57.275302	0.141947	-1.508551	7.924687
71571	90681.763632	57.416358	0.165401	-1.508711	8.059572
71573	90683.846056	57.971313	-0.267911	-1.502061	7.821921
71575	90685.930846	55.525888	-1.943543	-1.514297	7.914764
71577	90688.013887	62.120681	2.239817	-1.496343	8.380614
71579	90690.096280	57.981315	0.428999	-1.509791	7.919102
71581	90692.180136	57.434601	-2.173237	-1.513177	7.878407
71583	90694.263634	58.478989	0.469855	-1.509319	8.062933
71585	90696.347108	62.961089	-1.557367	-1.515437	8.096881
71587	90698.430303	59.236057	0.977692	-1.509476	8.371071
71589	90700.514023	58.708920	0.362982	-1.491722	7.996998
71591	90702.598040	57.610014	-0.700926	-1.517825	8.405559
