crossing time (s)	slope (V/s)	crossing number
281474976710655.000000	5.162736	3051	0.000000
281474976710655.000000	6.027456	3052	5694562304.000000
281474976710655.000000	5.710986	3053	5695598592.000000
281474976710655.000000	5.631054	3054	5696648704.000000
281474976710655.000000	5.928239	3055	5697683456.000000
281474976710655.000000	5.978846	3056	5698736640.000000
281474976710655.000000	5.487402	3057	5699774976.000000
281474976710655.000000	6.256293	3058	5700823040.000000
281474976710655.000000	5.854534	3059	5701853696.000000
281474976710655.000000	6.025008	3060	5702907904.000000
281474976710655.000000	5.817319	3061	5703946752.000000
281474976710655.000000	6.307433	3062	5704994816.000000
281474976710655.000000	6.521315	3063	5706030592.000000
281474976710655.000000	6.455556	3064	5707078656.000000
281474976710655.000000	5.684170	3065	5708114944.000000
281474976710655.000000	6.722930	3066	5709164032.000000
281474976710655.000000	6.539328	3067	5710204928.000000
281474976710655.000000	6.541717	3068	5711245824.000000
281474976710655.000000	6.447888	3069	5712288768.000000
281474976710655.000000	6.565454	3070	5713333248.000000
281474976710655.000000	6.412200	3071	5714378752.000000
281474976710655.000000	6.930401	3072	5715417088.000000
281474976710655.000000	6.669773	3073	5716459008.000000
281474976710655.000000	7.010916	3074	5717504000.000000
281474976710655.000000	6.484748	3075	5718547456.000000
281474976710655.000000	6.980520	3076	5719590400.000000
281474976710655.000000	7.239431	3077	5720631296.000000
281474976710655.000000	7.140707	3078	5721676288.000000
281474976710655.000000	6.707910	3079	5722714112.000000
281474976710655.000000	7.269935	3080	5723762176.000000
281474976710655.000000	7.070924	3081	5724799488.000000
281474976710655.000000	7.313876	3082	5725847552.000000
281474976710655.000000	7.401142	3083	5726884352.000000
281474976710655.000000	7.259655	3084	5727933440.000000
281474976710655.000000	6.906593	3085	5728968704.000000
281474976710655.000000	7.448508	3086	5730017792.000000
281474976710655.000000	7.492595	3087	5731054080.000000
281474976710655.000000	7.526485	3088	5732102144.000000
281474976710655.000000	7.516622	3089	5733137920.000000
281474976710655.000000	7.555187	3090	5734187520.000000
281474976710655.000000	7.246803	3091	5735223808.000000
281474976710655.000000	7.800427	3092	5736271360.000000
281474976710655.000000	7.764315	3093	5737311232.000000
281474976710655.000000	7.708152	3094	5738355200.000000
281474976710655.000000	7.743774	3095	5739395072.000000
281474976710655.000000	8.017585	3096	5740440576.000000
281474976710655.000000	7.561998	3097	5741480448.000000
281474976710655.000000	7.972430	3098	5742523904.000000
281474976710655.000000	7.589710	3099	5743565312.000000
281474976710655.000000	7.859390	3100	5744608768.000000
281474976710655.000000	8.003764	3101	5745650688.000000
281474976710655.000000	8.183441	3102	5746692608.000000
281474976710655.000000	7.974897	3103	5747736064.000000
281474976710655.000000	8.018435	3104	5748777472.000000
281474976710655.000000	7.833522	3105	5749818368.000000
281474976710655.000000	8.114473	3106	5750863360.000000
281474976710655.000000	7.961622	3107	5751904256.000000
281474976710655.000000	8.392491	3108	5752948224.000000
281474976710655.000000	8.151544	3109	5753986560.000000
281474976710655.000000	8.410892	3110	5755034112.000000
281474976710655.000000	8.282584	3111	5756071424.000000
281474976710655.000000	8.294984	3112	5757118464.000000
281474976710655.000000	7.873353	3113	5758155776.000000
281474976710655.000000	8.313940	3114	5759202816.000000
281474976710655.000000	8.230685	3115	5760239616.000000
281474976710655.000000	8.527338	3116	5761287168.000000
281474976710655.000000	8.344348	3117	5762323456.000000
281474976710655.000000	8.460546	3118	5763371008.000000
281474976710655.000000	8.379589	3119	5764406784.000000
281474976710655.000000	8.559057	3120	5765455872.000000
281474976710655.000000	8.493577	3121	5766493184.000000
281474976710655.000000	8.809669	3122	5767539712.000000
281474976710655.000000	8.576545	3123	5768576512.000000
281474976710655.000000	8.754924	3124	5769623552.000000
281474976710655.000000	8.349450	3125	5770660864.000000
281474976710655.000000	8.770321	3126	5771708416.000000
281474976710655.000000	8.878613	3127	5772746240.000000
281474976710655.000000	8.879542	3128	5773793280.000000
281474976710655.000000	8.582640	3129	5774830592.000000
281474976710655.000000	9.057781	3130	5775877120.000000
281474976710655.000000	8.558847	3131	5776915456.000000
281474976710655.000000	9.023255	3132	5777960448.000000
281474976710655.000000	8.964062	3133	5779000320.000000
281474976710655.000000	8.980456	3134	5780044288.000000
281474976710655.000000	8.929417	3135	5781084672.000000
281474976710655.000000	9.223269	3136	5782127616.000000
281474976710655.000000	8.954542	3137	5783170048.000000
281474976710655.000000	9.097581	3138	5784211968.000000
281474976710655.000000	8.941618	3139	5785252864.000000
281474976710655.000000	9.156410	3140	5786294784.000000
281474976710655.000000	9.130248	3141	5787338240.000000
281474976710655.000000	9.246379	3142	5788380160.000000
281474976710655.000000	9.367847	3143	5789422080.000000
281474976710655.000000	9.210017	3144	5790464512.000000
281474976710655.000000	9.036456	3145	5791506432.000000
281474976710655.000000	9.311909	3146	5792549376.000000
281474976710655.000000	9.292329	3147	5793589760.000000
281474976710655.000000	9.408127	3148	5794633216.000000
281474976710655.000000	9.239255	3149	5795673600.000000
281474976710655.000000	9.518008	3150	5796718080.000000
281474976710655.000000	9.250085	3151	5797757952.000000
281474976710655.000000	9.562875	3152	5798801408.000000
281474976710655.000000	9.541066	3153	5799841792.000000
281474976710655.000000	9.470860	3154	5800886784.000000
281474976710655.000000	9.443849	3155	5801925632.000000
281474976710655.000000	9.629332	3156	5802970112.000000
281474976710655.000000	9.684936	3157	5804009984.000000
281474976710655.000000	9.763587	3158	5805051904.000000
281474976710655.000000	9.772457	3159	5806093824.000000
281474976710655.000000	9.723607	3160	5807137792.000000
281474976710655.000000	9.592854	3161	5808178688.000000
281474976710655.000000	9.860338	3162	5809219584.000000
281474976710655.000000	9.650123	3163	5810263040.000000
281474976710655.000000	9.626398	3164	5811303936.000000
281474976710655.000000	9.516372	3165	5812346880.000000
281474976710655.000000	10.021537	3166	5813388288.000000
281474976710655.000000	9.759815	3167	5814431232.000000
281474976710655.000000	9.663409	3168	5815472128.000000
281474976710655.000000	9.770266	3169	5816515072.000000
281474976710655.000000	9.859658	3170	5817555968.000000
281474976710655.000000	9.668449	3171	5818598912.000000
281474976710655.000000	9.851752	3172	5819640320.000000
281474976710655.000000	9.977647	3173	5820682240.000000
281474976710655.000000	9.884337	3174	5821724672.000000
